timestamp,price
1673913600000,0.35
1674000000000,0.35
1674086400000,0.33
1674172800000,0.34
1674259200000,0.36
1674345600000,0.37
1674432000000,0.38
1674518400000,0.38
1674604800000,0.36
1674691200000,0.37
1674777600000,0.38
1674864000000,0.39
1674950400000,0.38
1675036800000,0.4
1675123200000,0.37
1675209600000,0.39
1675296000000,0.4
1675382400000,0.4
1675468800000,0.4
1675555200000,0.4
1675641600000,0.39
1675728000000,0.38
1675814400000,0.4
1675900800000,0.39
1675987200000,0.36
1676073600000,0.36
1676160000000,0.37
1676246400000,0.36
1676332800000,0.36
1676419200000,0.39
1676505600000,0.41
1676592000000,0.39
1676678400000,0.41
1676764800000,0.41
1676851200000,0.4
1676937600000,0.4
1677024000000,0.39
1677110400000,0.39
1677196800000,0.38
1677283200000,0.37
1677369600000,0.36
1677456000000,0.37
1677542400000,0.37
1677628800000,0.35
1677715200000,0.36
1677801600000,0.35
1677888000000,0.34
1677974400000,0.34
1678060800000,0.34
1678147200000,0.33
1678233600000,0.33
1678320000000,0.32
1678406400000,0.31
1678492800000,0.32
1678579200000,0.31
1678665600000,0.33
1678752000000,0.34
1678838400000,0.34
1678924800000,0.33
1679011200000,0.33
1679097600000,0.35
1679184000000,0.34
1679270400000,0.35
1679356800000,0.33
1679443200000,0.37
1679529600000,0.36
1679616000000,0.37
1679702400000,0.36
1679788800000,0.35
1679875200000,0.36
1679961600000,0.35
1680048000000,0.37
1680134400000,0.38
1680220800000,0.38
1680307200000,0.4
1680393600000,0.39
1680480000000,0.38
1680566400000,0.39
1680652800000,0.39
1680739200000,0.39
1680825600000,0.38
1680912000000,0.38
1680998400000,0.39
1681084800000,0.39
1681171200000,0.4
1681257600000,0.4
1681344000000,0.41
1681430400000,0.43
1681516800000,0.44
1681603200000,0.45
1681689600000,0.45
1681776000000,0.43
1681862400000,0.44
1681948800000,0.42
1682035200000,0.4
1682121600000,0.38
1682208000000,0.4
1682294400000,0.39
1682380800000,0.38
1682467200000,0.4
1682553600000,0.4
1682640000000,0.41
1682726400000,0.41
1682812800000,0.4
1682899200000,0.4
1682985600000,0.39
1683072000000,0.39
1683158400000,0.39
1683244800000,0.39
1683331200000,0.39
1683417600000,0.38
1683504000000,0.38
1683590400000,0.37
1683676800000,0.36
1683763200000,0.37
1683849600000,0.36
