datetime,open,close,high,low,volume,return,price
2024-01-20 00:00:00+00:00,41727,41692,41883,41518,818.35265957,-0.0008387854386847844,41600.94
2024-01-19 00:00:00+00:00,41358,41715,42212,40358,1550.34973284,0.008631945451907732,41261.39
2024-01-18 00:00:00+00:00,42784,41337,42932,40704,1382.78497618,-0.03382105459985041,42713.86
2024-01-17 00:00:00+00:00,43175,42778,43215,42216,801.52411505,-0.009195136074116966,43148.0
2024-01-16 00:00:00+00:00,42521,43163,43588,42069,697.88384865,0.015098421956209872,42587.34
2024-01-15 00:00:00+00:00,41722,42520,43369,41700,933.8109698,0.019126599875365514,41800.93
2024-01-14 00:00:00+00:00,42825,41731,43075,41715,1100.10399675,-0.025545826036193812,42848.47
2024-01-13 00:00:00+00:00,42833,42847,43250,42441,1035.91452464,0.0003268507926131721,42893.93
2024-01-12 00:00:00+00:00,46334,42809,46508,41500,3778.02497944,-0.07607804204256054,46314.36
2024-01-11 00:00:00+00:00,46654,46333,48750,45581,5419.84109342,-0.006880438976293565,46632.31
2024-01-10 00:00:00+00:00,46100,46653,47582,44268,5054.5362036,0.011995661605206074,46105.95
2024-01-09 00:00:00+00:00,46946,46113,47857,44545,3869.42510528,-0.017743790738295063,46936.19
2024-01-08 00:00:00+00:00,43959,46946,47224,43241,3825.50930691,0.06794968038399418,43883.74
2024-01-07 00:00:00+00:00,44011,43959,44500,43627,574.26826438,-0.0011815228011179024,43956.12
2024-01-06 00:00:00+00:00,44192,44018,44263,43453,742.27855358,-0.0039373642288196955,44113.7
2024-01-05 00:00:00+00:00,44216,44191,44449,42413,1894.05159983,-0.0005654061878053193,44195.58
2024-01-04 00:00:00+00:00,42874,44224,44810,42673,1849.38800183,0.03148761487148388,42821.56
2024-01-03 00:00:00+00:00,45003,42869,45559,40383,4186.55630139,-0.04741906095149212,44994.67
2024-01-02 00:00:00+00:00,44180,44994,45920,44175,3104.62066833,0.018424626527840653,44168.68
2024-01-01 00:00:00+00:00,42331,44175,44190,42232,1162.14413758,0.04356145614325199,42208.2
2023-12-31 00:00:00+00:00,42198,42326,42939,42023,656.53211617,0.0030333191146499835,42220.61
2023-12-30 00:00:00+00:00,42123,42199,42665,41585,672.33764919,0.0018042399639152007,42074.71
2023-12-29 00:00:00+00:00,42659,42139,43175,41304,1637.00085571,-0.012189690334982068,42600.65
2023-12-28 00:00:00+00:00,43475,42617,43793,42388,1094.71421077,-0.019735480161012075,43418.47
2023-12-27 00:00:00+00:00,42569,43479,43666,42171,1016.95405013,0.02137705842279593,42516.43
2023-12-26 00:00:00+00:00,43640,42568,43649,41616,1985.68376629,-0.02456461961503208,43638.24
2023-12-25 00:00:00+00:00,43040,43641,43881,42784,837.15319382,0.01396375464684015,43034.97
2023-12-24 00:00:00+00:00,43801,43043,43978,42700,745.48413591,-0.01730554096938426,43752.03
2023-12-23 00:00:00+00:00,44058,43801,44068,43332,657.22849302,-0.00583321984656589,44003.7
2023-12-22 00:00:00+00:00,43890,44038,44444,43480,992.75415162,0.0033720665299612667,43849.7
2023-12-21 00:00:00+00:00,43697,43890,44250,43362,1168.03647426,0.00441677918392567,43634.12
2023-12-20 00:00:00+00:00,42309,43689,44363,42244,2175.77771137,0.03261717365099624,42250.21
2023-12-19 00:00:00+00:00,42684,42316,43529,41850,957.60283027,-0.008621497516633868,42684.18
2023-12-18 00:00:00+00:00,41410,42672,42773,40508,1456.98363741,0.030475730499879256,41410.82
2023-12-17 00:00:00+00:00,42321,41411,42448,41286,1109.10178864,-0.02150232744972945,42247.07
2023-12-16 00:00:00+00:00,41976,42328,42746,41693,650.6456654,0.008385744234800839,41992.01
2023-12-15 00:00:00+00:00,43061,41974,43106,41723,1011.65981813,-0.025243259562016673,43009.6
2023-12-14 00:00:00+00:00,42902,43064,43470,41475,1666.06714644,0.0037760477367022515,42931.76
2023-12-13 00:00:00+00:00,41518,42891,43461,40666,1454.80799253,0.033069993737655956,41450.82
2023-12-12 00:00:00+00:00,41286,41501,42115,40695,902.66795965,0.0052075764181562754,41200.96
2023-12-11 00:00:00+00:00,43818,41287,43842,40198,3004.44954038,-0.05776165046327993,43757.96
2023-12-10 00:00:00+00:00,43745,43809,44066,43623,936.20231868,0.0014630243456395017,43745.49
2023-12-09 00:00:00+00:00,44178,43749,44366,43623,1284.98339071,-0.009710715740866495,44202.18
2023-12-08 00:00:00+00:00,43284,44173,44699,43086,1962.21252053,0.020538767211902783,43270.12
2023-12-07 00:00:00+00:00,43809,43290,44091,42862,2935.55959819,-0.011846880777922345,43788.29
2023-12-06 00:00:00+00:00,44113,43814,44297,43444,5125.54675711,-0.006778047287647632,44105.94
2023-12-05 00:00:00+00:00,41905,44112,44488,40849,5332.11475401,0.05266674621166925,41974.33
2023-12-04 00:00:00+00:00,39959,41942,42336,39959,2953.70167011,0.049625866513176006,39960.28
2023-12-03 00:00:00+00:00,39431,39940,40170,39253,1408.73497438,0.01290862519337577,39481.67
2023-12-02 00:00:00+00:00,38676,39438,39678,38634,2856.44282153,0.01970214086255042,38688.26
2023-12-01 00:00:00+00:00,37732,38676,38979,37618,2689.82515593,0.025018551892293014,37711.82
2023-11-30 00:00:00+00:00,37840,37724,38136,37490,734.3276974300001,-0.00306553911205074,37810.35
2023-11-29 00:00:00+00:00,37815,37834,38402,37555,1189.77921556,0.000502446119264842,37802.24
2023-11-28 00:00:00+00:00,37253,37815,38349,36891,1791.89808092,0.015086033339596811,37250.17
2023-11-27 00:00:00+00:00,37442,37263,37547,36732,1744.62280352,-0.0047807275252390365,37491.84
2023-11-26 00:00:00+00:00,37781,37443,37798,37117,1836.98819659,-0.008946295757126597,37809.85
2023-11-25 00:00:00+00:00,37710,37781,37893,37583,1128.57646091,0.001882789710952002,37738.93
2023-11-24 00:00:00+00:00,37290,37704,38410,37248,3643.84959804,0.011102172164119066,37293.32
2023-11-23 00:00:00+00:00,37408,37280,37645,36890,1295.63927021,-0.003421727972626176,37464.83
2023-11-22 00:00:00+00:00,35756,37407,37888,35660,2093.791719,0.046174068687772685,35965.36
2023-11-21 00:00:00+00:00,37451,35755,37645,35755,2683.46805928,-0.04528584016448159,37489.3
2023-11-20 00:00:00+00:00,37379,37451,37745,36620,1652.00298807,0.0019262152545546966,37413.99
2023-11-19 00:00:00+00:00,36586,37369,37509,36410,520.79215437,0.02140162903843,36582.37
2023-11-18 00:00:00+00:00,36631,36581,36850,36221,338.59084796,-0.001364964101444132,36527.76
2023-11-17 00:00:00+00:00,36181,36631,36846,35866,879.29573618,0.012437467178906056,36201.52
2023-11-16 00:00:00+00:00,37856,36161,37929,35517,960.28685284,-0.04477493660185968,37903.66
2023-11-15 00:00:00+00:00,35550,37865,37950,35374,1994.91690299,0.06511954992967652,35545.2
2023-11-14 00:00:00+00:00,36500,35542,36756,34779,2052.6102527,-0.026246575342465755,36549.16
2023-11-13 00:00:00+00:00,37045,36503,37444,36379,1231.19432068,-0.014630854366311244,37067.7
2023-11-12 00:00:00+00:00,37133,37046,37215,36751,451.49744199,-0.0023429294697438936,37122.72
