datetime,open,close,high,low,volume,return,price
2024-01-20 00:00:00+00:00,0.54475,0.55051,0.55363,0.53988,1105582.47240995,0.010573657641119961,0.54
2024-01-19 00:00:00+00:00,0.55241,0.54501,0.55401,0.52271,3678699.56770893,-0.013395847287340857,0.55
2024-01-18 00:00:00+00:00,0.56831,0.55241,0.56896,0.54271,1972698.73617537,-0.02797768823353456,0.57
2024-01-17 00:00:00+00:00,0.57589,0.56844,0.57632,0.56159,1659634.91303852,-0.012936498289604035,0.58
2024-01-16 00:00:00+00:00,0.57638,0.57593,0.57992,0.56597,1582978.86178951,-0.00078073493181573,0.58
2024-01-15 00:00:00+00:00,0.576,0.57629,0.58976,0.56848,1469161.91432949,0.0005034722222222439,0.58
2024-01-14 00:00:00+00:00,0.57423,0.57612,0.59282,0.57141,1520768.50775546,0.0032913640875606416,0.57
2024-01-13 00:00:00+00:00,0.57066,0.57464,0.57736,0.56348,722502.90369479,0.006974380541828926,0.57
2024-01-12 00:00:00+00:00,0.60206,0.57007,0.60286,0.55081,4114123.15163559,-0.053134239112380945,0.6
2024-01-11 00:00:00+00:00,0.60039,0.60167,0.62324,0.58547,6760693.82782459,0.002131947567414612,0.6
2024-01-10 00:00:00+00:00,0.56667,0.60039,0.61487,0.54801,5381853.55780457,0.05950553232039806,0.57
2024-01-09 00:00:00+00:00,0.57758,0.56666,0.579,0.55066,4643412.62885832,-0.01890647183074194,0.58
2024-01-08 00:00:00+00:00,0.55212,0.57758,0.5824,0.54488,3848876.6163783,0.0461131638049698,0.55
2024-01-07 00:00:00+00:00,0.56768,0.55189,0.57335,0.54643,1506512.18308747,-0.027814966178128474,0.57
2024-01-06 00:00:00+00:00,0.57592,0.56825,0.57592,0.55762,780886.28951053,-0.013317821919710992,0.58
2024-01-05 00:00:00+00:00,0.58778,0.57661,0.58931,0.55282,2411941.94558733,-0.01900370887066592,0.59
2024-01-04 00:00:00+00:00,0.58217,0.58821,0.59451,0.57,2739822.73909917,0.01037497638146941,0.58
2024-01-03 00:00:00+00:00,0.62492,0.58218,0.64021,0.48335,8202246.93270614,-0.06839275427254689,0.63
2024-01-02 00:00:00+00:00,0.62997,0.62478,0.64,0.6219,2913420.02721783,-0.008238487547026092,0.63
2024-01-01 00:00:00+00:00,0.61584,0.62988,0.63151,0.6091,1537917.44038928,0.022798129384255555,0.61
2023-12-31 00:00:00+00:00,0.62168,0.61551,0.62915,0.6059,1858962.91027395,-0.009924720113241553,0.62
2023-12-30 00:00:00+00:00,0.6232,0.62169,0.63044,0.61652,1476909.97401285,-0.002422978177150211,0.62
2023-12-29 00:00:00+00:00,0.63551,0.62356,0.63689,0.61266,3043481.8543866,-0.01880379537694138,0.63
2023-12-28 00:00:00+00:00,0.63473,0.63548,0.65836,0.6257,4292119.86501905,0.0011816047768342893,0.64
2023-12-27 00:00:00+00:00,0.62271,0.63485,0.64293,0.61395,2892083.35161838,0.019495431260137207,0.62
2023-12-26 00:00:00+00:00,0.64755,0.62274,0.64755,0.598,3757755.38669677,-0.03831364373407459,0.65
2023-12-25 00:00:00+00:00,0.61315,0.64723,0.64986,0.60916,4584458.37267822,0.0555818315257278,0.61
2023-12-24 00:00:00+00:00,0.6208,0.61325,0.63039,0.6031,1948679.67057733,-0.012161726804123802,0.62
2023-12-23 00:00:00+00:00,0.6257,0.62088,0.62572,0.61122,957463.7840754,-0.007703372223110191,0.63
